role,name,poli,State,twitterName,name,userNumber,followers,,,Important Comments,,
representative,Rep. Mike Coffman,R,CO-6,@RepMikeCoffman,RepMikeCoffman,19407835,39557,,,,,
representative,Rep. Ed Perlmutter,D,CO-7,@RepPerlmutter,RepPerlmutter,20552026,30090,,,,,
representative,Rep. John Larson,D,CT-1,@RepJohnLarson,RepJohnLarson,50452197,23138,,,,,
representative,Rep. Joe Courtney,D,CT-2,@RepJoeCourtney,RepJoeCourtney,85396297,22511,,,,,
representative,Rep. Rosa DeLauro,D,CT-3,@RosaDeLauro,rosadelauro,140519774,36285,,,,,
representative,Rep. James Himes,D,CT-4,@JAHimes,jahimes,31611298,74788,,,,,
representative,Rep. Elizabeth Esty,D,CT-5,@RepEsty,RepEsty,1060984272,22096,,,,,
representative,Rep. Lisa Blunt Rochester,D,DE-0,@LisaBRochester,LisaBRochester,4049197462,3372,,,,,
representative,Rep. Eleanor Norton,D,DC-0,@EleanorNorton,EleanorNorton,23600262,29756,,,,,
representative,Rep. Matt Gaetz,R,FL-1,@Rep_Matt_Gaetz,Rep_Matt_Gaetz,510196665,8,,,,,
representative,Rep. Neal Dunn,,FL-2,@DrNealDunnFL2,DrNealDunnFL2,8.15952E+17,4940,,,,,
representative,Rep. Ted Yoho,R,FL-3,@RepTedYoho,RepTedYoho,1071900114,29255,,,,,
representative,Rep. John Rutherford,R,FL-4,@RepRutherfordFL,RepRutherfordFL,8.28977E+17,3413,,,,,
representative,Rep. Al Lawson,D,FL-5,@RepAlLawsonJr,RepAlLawsonJr,8.18472E+17,4208,,,,,
representative,Rep. Ron DeSantis,R,FL-6,@RepDeSantis,RepDeSantis,1058807868,220377,,,,,
representative,Rep. Stephanie Murphey,D,FL-7,@RepStephMurphy,RepStephMurphy,7.96184E+17,16116,,,,,
representative,Rep. Bill Posey,R,FL-8,@CongBillPosey,congbillposey,25086658,21484,,,,,
representative,Rep. Darren Soto,D,FL-9,@RepDarrenSoto,RepDarrenSoto,8.18713E+17,6671,,,,,
